LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
AUS	PASSCAR	TOT	IDX2015	M	2007-05	122.6963076	
AUS	PASSCAR	TOT	IDX2015	M	2007-06	148.3888358	
AUS	PASSCAR	TOT	IDX2015	M	2007-07	124.7021911	
AUS	PASSCAR	TOT	IDX2015	M	2007-08	122.7451748	
AUS	PASSCAR	TOT	IDX2015	M	2007-09	116.8089699	
AUS	PASSCAR	TOT	IDX2015	M	2007-10	124.1134573	
AUS	PASSCAR	TOT	IDX2015	M	2007-11	126.1123597	
AUS	PASSCAR	TOT	IDX2015	M	2007-12	120.3576616	
AUS	PASSCAR	TOT	IDX2015	M	2008-01	114.710006	
AUS	PASSCAR	TOT	IDX2015	M	2008-02	123.4013919	
AUS	PASSCAR	TOT	IDX2015	M	2008-03	123.6154769	
AUS	PASSCAR	TOT	IDX2015	M	2008-04	110.8564758	
AUS	PASSCAR	TOT	IDX2015	M	2008-05	119.6455962	
AUS	PASSCAR	TOT	IDX2015	M	2008-06	143.1670232	
AUS	PASSCAR	TOT	IDX2015	M	2008-07	118.8357964	
AUS	PASSCAR	TOT	IDX2015	M	2008-08	107.307784	
AUS	PASSCAR	TOT	IDX2015	M	2008-09	113.7093912	
AUS	PASSCAR	TOT	IDX2015	M	2008-10	106.9913106	
AUS	PASSCAR	TOT	IDX2015	M	2008-11	100.1056851	
AUS	PASSCAR	TOT	IDX2015	M	2008-12	106.3350935	
AUS	PASSCAR	TOT	IDX2015	M	2009-01	96.12649632	
AUS	PASSCAR	TOT	IDX2015	M	2009-02	98.81186698	
AUS	PASSCAR	TOT	IDX2015	M	2009-03	101.1877452	
AUS	PASSCAR	TOT	IDX2015	M	2009-04	85.39432171	
AUS	PASSCAR	TOT	IDX2015	M	2009-05	98.30457859	
AUS	PASSCAR	TOT	IDX2015	M	2009-06	129.9333117	
AUS	PASSCAR	TOT	IDX2015	M	2009-07	107.2728789	
AUS	PASSCAR	TOT	IDX2015	M	2009-08	104.5246789	
AUS	PASSCAR	TOT	IDX2015	M	2009-09	110.0303869	
